question_id,context_id,title,context,question,answer,question_type
1,1,豊田市中央図書館,"豊田市中央図書館(とよたしちゅうおうとしょかん)は、愛知県豊田市西町1丁目にある公共図書館のことである。
名鉄豊田市駅東側の参合館の3-7階にある。
豊田市はトヨタ自動車の本社所在地であり自動車産業とともに発展してきた街であることから、自動車資料の収集に力を入れており、公共図書館としては日本最大の自動車資料コレクションを有する。
豊田市における図書館サービスは、中央館である豊田市中央図書館、分館である豊田市こども図書室、計31のネットワーク館で構成されている。
2015年度時点の図書館・図書室の蔵書数は、全国の中核市45市の中で最多である。",日本最大の自動車資料コレクションを有する公共図書館とはどこ?,豊田市中央図書館,Multiple sentence reasoning
2,1,豊田市中央図書館,"豊田市中央図書館(とよたしちゅうおうとしょかん)は、愛知県豊田市西町1丁目にある公共図書館のことである。
名鉄豊田市駅東側の参合館の3-7階にある。
豊田市はトヨタ自動車の本社所在地であり自動車産業とともに発展してきた街であることから、自動車資料の収集に力を入れており、公共図書館としては日本最大の自動車資料コレクションを有する。
豊田市における図書館サービスは、中央館である豊田市中央図書館、分館である豊田市こども図書室、計31のネットワーク館で構成されている。
2015年度時点の図書館・図書室の蔵書数は、全国の中核市45市の中で最多である。",2015年度時点の図書館・図書室の蔵書数が全国の中核市45市の中で最多であるのはどこの図書館なの?,豊田市中央図書館,Multiple sentence reasoning
3,1,豊田市中央図書館,"豊田市中央図書館(とよたしちゅうおうとしょかん)は、愛知県豊田市西町1丁目にある公共図書館のことである。
名鉄豊田市駅東側の参合館の3-7階にある。
豊田市はトヨタ自動車の本社所在地であり自動車産業とともに発展してきた街であることから、自動車資料の収集に力を入れており、公共図書館としては日本最大の自動車資料コレクションを有する。
豊田市における図書館サービスは、中央館である豊田市中央図書館、分館である豊田市こども図書室、計31のネットワーク館で構成されている。
2015年度時点の図書館・図書室の蔵書数は、全国の中核市45市の中で最多である。",豊田市中央図書館の所在地は?,愛知県豊田市西町1丁目,Lexical variation (world knowledge)
4,2,豊田市中央図書館,"『愛知県昭和史』によると、西加茂郡挙母町時代の1926年(昭和元年)に図書館を設立しているが、この図書館の詳細は定かでない。
太平洋戦争後の1946年(昭和21年)7月1日には挙母町立図書館設立委員会が組織され、同年9月1日には西町の挙母町都市計画事務所内に挙母町立図書館が設置された。
1948年(昭和23年)4月1日には挙母町中央公民館が開館し、図書館が中央公民館の1階の一室に移転している。
1950年(昭和25年)時点では2人の専任職員と約1,000冊の蔵書を有し、1日平均で約30人の閲覧者があった。
1951年(昭和26年)3月1日には挙母町が市制施行して挙母市となったため、挙母町立図書館から挙母市立図書館に改称した。
市制施行当時の蔵書数は約4,000冊であり、兼任館長と2人の臨時職員を有していた。",蔵書数が多かったのは1950年と1951年のどちらですか?,1951年,Logical reasoning
5,2,豊田市中央図書館,"『愛知県昭和史』によると、西加茂郡挙母町時代の1926年(昭和元年)に図書館を設立しているが、この図書館の詳細は定かでない。
太平洋戦争後の1946年(昭和21年)7月1日には挙母町立図書館設立委員会が組織され、同年9月1日には西町の挙母町都市計画事務所内に挙母町立図書館が設置された。
1948年(昭和23年)4月1日には挙母町中央公民館が開館し、図書館が中央公民館の1階の一室に移転している。
1950年(昭和25年)時点では2人の専任職員と約1,000冊の蔵書を有し、1日平均で約30人の閲覧者があった。
1951年(昭和26年)3月1日には挙母町が市制施行して挙母市となったため、挙母町立図書館から挙母市立図書館に改称した。
市制施行当時の蔵書数は約4,000冊であり、兼任館長と2人の臨時職員を有していた。",挙母町立図書館が設置された年はいつですか?,1946年,Syntactic variation
6,2,豊田市中央図書館,"『愛知県昭和史』によると、西加茂郡挙母町時代の1926年(昭和元年)に図書館を設立しているが、この図書館の詳細は定かでない。
太平洋戦争後の1946年(昭和21年)7月1日には挙母町立図書館設立委員会が組織され、同年9月1日には西町の挙母町都市計画事務所内に挙母町立図書館が設置された。
1948年(昭和23年)4月1日には挙母町中央公民館が開館し、図書館が中央公民館の1階の一室に移転している。
1950年(昭和25年)時点では2人の専任職員と約1,000冊の蔵書を有し、1日平均で約30人の閲覧者があった。
1951年(昭和26年)3月1日には挙母町が市制施行して挙母市となったため、挙母町立図書館から挙母市立図書館に改称した。
市制施行当時の蔵書数は約4,000冊であり、兼任館長と2人の臨時職員を有していた。",1948年に挙母町立図書館はどの建物に移転したの?,挙母町中央公民館,Multiple sentence reasoning
7,2,豊田市中央図書館,"『愛知県昭和史』によると、西加茂郡挙母町時代の1926年(昭和元年)に図書館を設立しているが、この図書館の詳細は定かでない。
太平洋戦争後の1946年(昭和21年)7月1日には挙母町立図書館設立委員会が組織され、同年9月1日には西町の挙母町都市計画事務所内に挙母町立図書館が設置された。
1948年(昭和23年)4月1日には挙母町中央公民館が開館し、図書館が中央公民館の1階の一室に移転している。
1950年(昭和25年)時点では2人の専任職員と約1,000冊の蔵書を有し、1日平均で約30人の閲覧者があった。
1951年(昭和26年)3月1日には挙母町が市制施行して挙母市となったため、挙母町立図書館から挙母市立図書館に改称した。
市制施行当時の蔵書数は約4,000冊であり、兼任館長と2人の臨時職員を有していた。",1950年の1日平均閲覧者数は何人でしたか?,約30人,Lexical variation (synonymy)
8,3,豊田市中央図書館,"1953年(昭和28年)3月には愛知県から愛知県蚕業取締所第九支所の建物の払い下げを受け、挙母市立図書館は10月にこの建物に移転した。
1954年3月29日に開館し、初めて図書館が独立した建物となった。
図書館法第13条の下で、4月には専任館長が就任し、図書館協議会が図書館の運営にあたった。
同年6月1日には貸出巡回文庫を開始した。
同年9月14日には挙母市立図書館設置条例を公布し、公立図書館として再発足した。",挙母市立図書館が一つの独立した建物で開館したのはいつでしたか?,1954年3月29日,Multiple sentence reasoning
9,3,豊田市中央図書館,"1953年(昭和28年)3月には愛知県から愛知県蚕業取締所第九支所の建物の払い下げを受け、挙母市立図書館は10月にこの建物に移転した。
1954年3月29日に開館し、初めて図書館が独立した建物となった。
図書館法第13条の下で、4月には専任館長が就任し、図書館協議会が図書館の運営にあたった。
同年6月1日には貸出巡回文庫を開始した。
同年9月14日には挙母市立図書館設置条例を公布し、公立図書館として再発足した。",挙母市立図書館が公立図書館として再発足したのは何年の9月14日ですか?,1954年,Multiple sentence reasoning
10,3,豊田市中央図書館,"1953年(昭和28年)3月には愛知県から愛知県蚕業取締所第九支所の建物の払い下げを受け、挙母市立図書館は10月にこの建物に移転した。
1954年3月29日に開館し、初めて図書館が独立した建物となった。
図書館法第13条の下で、4月には専任館長が就任し、図書館協議会が図書館の運営にあたった。
同年6月1日には貸出巡回文庫を開始した。
同年9月14日には挙母市立図書館設置条例を公布し、公立図書館として再発足した。",拳母市立図書館が貸出巡回文庫を開始したのは何年の6月1日ですか?,1954年,Multiple sentence reasoning
