question_id,context_id,title,context,question,answer,question_type
1,1,ジークフリート(楽劇),『ジークフリート』は、リヒャルト・ワーグナーが1856年から1871年にかけて作曲し1876年に初演した楽劇だ。台本も作曲者による。ワーグナーの代表作である舞台祝祭劇『ニーベルングの指環』四部作の3作目に当たる。原案は叙事詩『ニーベルンゲンの歌』及びドイツの英雄的主題『ニーベルンゲン伝説』。『ニーベルングの指環』四部作は、ひとつのプロローグと3日を要する舞台上演と見なすことができ、その「第2日」に当たる本作『ジークフリート』は、「序夜」(『ラインの黄金』)を除く「三部作」の中間に位置づけられる作品である。「指環」四部作はそれぞれ独立した性格を持ち、単独上演が可能である。『ジークフリート』は全3幕からなり、上演時間は約3時間50分だ。第2幕第2場「森のささやき」の音楽はしばしば管弦楽のみで独立して演奏される。,『ジークフリート』の台本を書いたのは誰?,リヒャルト・ワーグナー,Multiple sentence reasoning
2,1,ジークフリート(楽劇),『ジークフリート』は、リヒャルト・ワーグナーが1856年から1871年にかけて作曲し1876年に初演した楽劇だ。台本も作曲者による。ワーグナーの代表作である舞台祝祭劇『ニーベルングの指環』四部作の3作目に当たる。原案は叙事詩『ニーベルンゲンの歌』及びドイツの英雄的主題『ニーベルンゲン伝説』。『ニーベルングの指環』四部作は、ひとつのプロローグと3日を要する舞台上演と見なすことができ、その「第2日」に当たる本作『ジークフリート』は、「序夜」(『ラインの黄金』)を除く「三部作」の中間に位置づけられる作品である。「指環」四部作はそれぞれ独立した性格を持ち、単独上演が可能である。『ジークフリート』は全3幕からなり、上演時間は約3時間50分だ。第2幕第2場「森のささやき」の音楽はしばしば管弦楽のみで独立して演奏される。,『ジークフリート』は『ニーベルングの指環』四部作の何作目に当たるか。,3作目,Multiple sentence reasoning
3,1,ジークフリート(楽劇),『ジークフリート』は、リヒャルト・ワーグナーが1856年から1871年にかけて作曲し1876年に初演した楽劇だ。台本も作曲者による。ワーグナーの代表作である舞台祝祭劇『ニーベルングの指環』四部作の3作目に当たる。原案は叙事詩『ニーベルンゲンの歌』及びドイツの英雄的主題『ニーベルンゲン伝説』。『ニーベルングの指環』四部作は、ひとつのプロローグと3日を要する舞台上演と見なすことができ、その「第2日」に当たる本作『ジークフリート』は、「序夜」(『ラインの黄金』)を除く「三部作」の中間に位置づけられる作品である。「指環」四部作はそれぞれ独立した性格を持ち、単独上演が可能である。『ジークフリート』は全3幕からなり、上演時間は約3時間50分だ。第2幕第2場「森のささやき」の音楽はしばしば管弦楽のみで独立して演奏される。,『ジークフリート』の上演時間は?,約3時間50分,Syntactic variation
4,1,ジークフリート(楽劇),『ジークフリート』は、リヒャルト・ワーグナーが1856年から1871年にかけて作曲し1876年に初演した楽劇だ。台本も作曲者による。ワーグナーの代表作である舞台祝祭劇『ニーベルングの指環』四部作の3作目に当たる。原案は叙事詩『ニーベルンゲンの歌』及びドイツの英雄的主題『ニーベルンゲン伝説』。『ニーベルングの指環』四部作は、ひとつのプロローグと3日を要する舞台上演と見なすことができ、その「第2日」に当たる本作『ジークフリート』は、「序夜」(『ラインの黄金』)を除く「三部作」の中間に位置づけられる作品である。「指環」四部作はそれぞれ独立した性格を持ち、単独上演が可能である。『ジークフリート』は全3幕からなり、上演時間は約3時間50分だ。第2幕第2場「森のささやき」の音楽はしばしば管弦楽のみで独立して演奏される。,『ジークフリート』は全部で何幕で構成されているか。,全3幕,Syntactic variation
5,2,ジークフリート(楽劇),"『ジークフリート』の物語は、『エッダ』、『ヴォルスンガ・サガ』など北欧神話の物語を軸にしつつドイツの叙事詩『ニーベルンゲンの歌』を始めとするドイツ英雄伝説や、ワーグナー独自の重層的・多義的な世界が構築されている。直接引用されてはいないがギリシア神話の影響も多分に見られる。

『ジークフリート』の台本は1852年12月、音楽は1856年から1871年にかけてそれぞれ完成された。作曲期間には後述の通り10年以上の中断をはさんでいる。1876年8月13日から17日まで開催された第1回バイロイト音楽祭において、『ニーベルングの指環』四部作全曲として初演された。

バイロイト音楽祭では四部作が連続上演される。内訳は以下のとおり。

序夜『ラインの黄金』(DasRheingold)
第1日『ヴァルキューレ』(DieWalküre)
第2日『ジークフリート』(Siegfried)本作
第3日『神々の黄昏』(Götterdämmerung)",『ジークフリート』の音楽は何年に完成されたか。,1871年,Lexical variation (synonymy)
6,2,ジークフリート(楽劇),"『ジークフリート』の物語は、『エッダ』、『ヴォルスンガ・サガ』など北欧神話の物語を軸にしつつドイツの叙事詩『ニーベルンゲンの歌』を始めとするドイツ英雄伝説や、ワーグナー独自の重層的・多義的な世界が構築されている。直接引用されてはいないがギリシア神話の影響も多分に見られる。

『ジークフリート』の台本は1852年12月、音楽は1856年から1871年にかけてそれぞれ完成された。作曲期間には後述の通り10年以上の中断をはさんでいる。1876年8月13日から17日まで開催された第1回バイロイト音楽祭において、『ニーベルングの指環』四部作全曲として初演された。

バイロイト音楽祭では四部作が連続上演される。内訳は以下のとおり。

序夜『ラインの黄金』(DasRheingold)
第1日『ヴァルキューレ』(DieWalküre)
第2日『ジークフリート』(Siegfried)本作
第3日『神々の黄昏』(Götterdämmerung)",『ニーベルングの指環』が初演されたのはどの音楽祭のときですか。,第1回バイロイト音楽祭,Syntactic variation
7,2,ジークフリート(楽劇),"『ジークフリート』の物語は、『エッダ』、『ヴォルスンガ・サガ』など北欧神話の物語を軸にしつつドイツの叙事詩『ニーベルンゲンの歌』を始めとするドイツ英雄伝説や、ワーグナー独自の重層的・多義的な世界が構築されている。直接引用されてはいないがギリシア神話の影響も多分に見られる。

『ジークフリート』の台本は1852年12月、音楽は1856年から1871年にかけてそれぞれ完成された。作曲期間には後述の通り10年以上の中断をはさんでいる。1876年8月13日から17日まで開催された第1回バイロイト音楽祭において、『ニーベルングの指環』四部作全曲として初演された。

バイロイト音楽祭では四部作が連続上演される。内訳は以下のとおり。

序夜『ラインの黄金』(DasRheingold)
第1日『ヴァルキューレ』(DieWalküre)
第2日『ジークフリート』(Siegfried)本作
第3日『神々の黄昏』(Götterdämmerung)",第1回バイロイト音楽祭は1876年8月13日から何日まで開催されましたか。,17日,Syntactic variation
8,3,ジークフリート(楽劇),"『ジークフリート』のジークフリートは、難役の多いワーグナーのテノール役の中でも最高峰の難役として知られる。初演以来、この役をこなした歌手は多くなく、その中でも名声を得た歌手は限られている。
声量や表現力が求められるのはもちろんだが、困難さの第一は体力・スタミナ面にある。『ジークフリート』では、全3幕を通じてほぼ出ずっぱりである上、第3幕から登場する元気なブリュンヒルデとの長大な二重唱を最後まで歌いきらなければならない。
『指環』四部作の上演では、本作とつづく『神々の黄昏』の間に1日休みを取る場合があるが、これはもっぱらジークフリート役の負担が大きいためとされる。また、このためにジークフリート役を二人にする措置も見られる。",ワーグナーのテノール役の中でも最高峰の難役として知られている役は何ですか。,ジークフリート,Syntactic variation
9,4,グレア,"グレア(glare、眩輝『げんき』、眩惑『げんわく』)とは、不快感や物の見えづらさを生じさせるような「まぶしさ」のことをいう。ある光の状態がグレアとなりうるか否かは、周辺の総合的な環境と個々人の生理的状態で決まる。光源とその周辺との明るさのバランスや、直接光・間接光の別、視線の方向と光源のなす角度などにも依存する。また、同じ光環境、同じ位置であっても、観察者の特性によってグレアとして受け取られるか否かは異なる。特に高齢者はグレアを感じ易く、また不快感から回復するのに要する時間も長い傾向にある。

グレアは、程度によっては単なる不快感にとどまらず、眼の障害や、状況把握能力の急な低下による事故などにもつながるため、照明器具の設計や照明計画などにおいては、グレアを防ぐことが必須となる。国・地域によっては、道路交通や照明設計に関して、グレア防止のための法規が整備されている。たとえばヨーロッパでは「輝度制限法」によって照明器具の輝度が制限されている。

なお、グレアは光害という概念とも一部共通するが、「光害」が主に公共性の面での問題として捉えられるのに対し、「グレア」はより工学的な問題として捉えられる。",不快感や物の見えづらさを生じさせるような「まぶしさ」のことをどう呼びますか?,グレア,Syntactic variation
10,4,グレア,"グレア(glare、眩輝『げんき』、眩惑『げんわく』)とは、不快感や物の見えづらさを生じさせるような「まぶしさ」のことをいう。ある光の状態がグレアとなりうるか否かは、周辺の総合的な環境と個々人の生理的状態で決まる。光源とその周辺との明るさのバランスや、直接光・間接光の別、視線の方向と光源のなす角度などにも依存する。また、同じ光環境、同じ位置であっても、観察者の特性によってグレアとして受け取られるか否かは異なる。特に高齢者はグレアを感じ易く、また不快感から回復するのに要する時間も長い傾向にある。

グレアは、程度によっては単なる不快感にとどまらず、眼の障害や、状況把握能力の急な低下による事故などにもつながるため、照明器具の設計や照明計画などにおいては、グレアを防ぐことが必須となる。国・地域によっては、道路交通や照明設計に関して、グレア防止のための法規が整備されている。たとえばヨーロッパでは「輝度制限法」によって照明器具の輝度が制限されている。

なお、グレアは光害という概念とも一部共通するが、「光害」が主に公共性の面での問題として捉えられるのに対し、「グレア」はより工学的な問題として捉えられる。",ある光がグレアになるか否かを決める変数は周辺の総合的な環境以外に何がありますか?,個々人の生理的状態,Syntactic variation
