question_id,context_id,title,context,question,answer,question_type
1,1,ナポリタン,ナポリタンは、茹でたスパゲッティをタマネギ、ピーマン、ハムなどと共にトマトケチャップで炒めた洋食である。日本で創作された日本風パスタ料理であり、類似の名を持つイタリア料理のスパゲッティ・アッラ・ナポレターナとは異なる。ナポリタンに類似した名で呼ばれるパスタ料理は幅広く存在するが、本稿では、第二次世界大戦後に日本の喫茶店や洋食屋で広く提供されていた、軟質小麦を原料としたコシのない麺をケチャップで炒めたものを中心に解説する。その周辺の類似したパスタ料理についても適宜解説する。,ナポリタンに用いるソースは何ですか。,トマトケチャップ,Lexical variation (world knowledge)
2,1,ナポリタン,ナポリタンは、茹でたスパゲッティをタマネギ、ピーマン、ハムなどと共にトマトケチャップで炒めた洋食である。日本で創作された日本風パスタ料理であり、類似の名を持つイタリア料理のスパゲッティ・アッラ・ナポレターナとは異なる。ナポリタンに類似した名で呼ばれるパスタ料理は幅広く存在するが、本稿では、第二次世界大戦後に日本の喫茶店や洋食屋で広く提供されていた、軟質小麦を原料としたコシのない麺をケチャップで炒めたものを中心に解説する。その周辺の類似したパスタ料理についても適宜解説する。,ナポリタンを創作した国は?,日本,Multiple sentence reasoning
3,1,ナポリタン,ナポリタンは、茹でたスパゲッティをタマネギ、ピーマン、ハムなどと共にトマトケチャップで炒めた洋食である。日本で創作された日本風パスタ料理であり、類似の名を持つイタリア料理のスパゲッティ・アッラ・ナポレターナとは異なる。ナポリタンに類似した名で呼ばれるパスタ料理は幅広く存在するが、本稿では、第二次世界大戦後に日本の喫茶店や洋食屋で広く提供されていた、軟質小麦を原料としたコシのない麺をケチャップで炒めたものを中心に解説する。その周辺の類似したパスタ料理についても適宜解説する。,日本のナポリタンはいつから広く普及するようになりましたか。,第二次世界大戦後,Multiple sentence reasoning
4,2,ナポリタン,喫茶店や洋食店などのナポリタンには、茹でた麺を一定時間寝かせる工程や、再加熱時に麺を炒める工程が加わる。麺を芯がなくなるまで茹でてサラダ油で和え、冷蔵庫で一晩置く。客の注文が入ってからケチャップ、具とともにフライパンで炒めつつ再加熱する。麺を余計に茹でるのも、油で和えるのも、冷蔵保存と再加熱時に水分が飛んで麺が乾燥するのを防ぐためとされる。日本経済新聞のコラム「食べ物新日本奇行」で、編集委員の野瀬泰申は、麺を茹で置いて客の注文が入ってから再加熱する調理法が立ち食いそばと同じであると述べたうえで、同様のパスタの茹で置きがベルギーの街のカフェでも行われている話を紹介し、「冷凍麺がなかった時代に生まれた調理時間の短縮技と思われる」と述べている。,ナポリタンに対して、麺を茹で置いて客の注文が入ってから再加熱する調理法が立ち食いそばと同じであると述べた人は誰ですか。,野瀬泰申,Multiple sentence reasoning
5,3,ナポリタン,イタリア料理のスパゲッティ・アッラ・ナポレターナは、ナポリタンとは調理法の異なる料理であるが、見た目や名前を含めて似ている部分もあるので、違いを把握するためにスパゲッティ・アッラ・ナポレターナについて記載する。スパゲッティ・アッラ・ナポレターナは、ニンニクの香りを移したオリーブ油にトマトとバジルなどを加えて煮込み、裏ごししたソースをスパゲッティに絡めた料理である。ナポレターナのソースはトマトソース(ポモドーロソース)とは異なり、刻みタマネギ、セロリ、ローリエが入り、バジルは必ずしも入らない。なお、『食の世界地図』によれば、トマトソースを用いた料理には「ナポリ風」と名がつき、トマトソースをからめたパスタを「ナポリターナ」と呼ぶ。また、「ソース・ナポリテーヌ」という、ソース・エスパニョルにホースラディッシュなどを加えた、都市ナポリとは無関係なソースも存在するという。,スパゲッティ・アッラ・ナポレターナはどこの料理ですか。,イタリア,Syntactic variation
6,4,ナポリタン,ナポリタンはトマトケチャップを用いて作られる料理であるが、そのトマトが新大陸からスペイン経由でナポリに伝わったのは1554年とされる。当時のナポリは良港として名高く、またシチリアとともにスペイン・ハプスブルク朝に支配されていたため、スペインを通じて新大陸の食材が手に入りやすい環境にあった。トマトソースのパスタは17-18世紀ごろにはナポリに存在していたとされる。歴史的にトマトベースのソースを記した最初のイタリア料理書は、在ナポリスペイン副王の宰相に家令として仕えたイタリア人シェフ、アントニオ・ラティーニが著し1696年に発行されたLoScalcoallaModernaである。同書にはトマトを使った「Salsadipomadoroallaspagnola」が記されている。このソースは、皮をむいて刻んだトマトに、みじん切りのタマネギとピーマン、イブキジャコウソウ、塩、オイル、酢などを混ぜたもので、ラティーニ自身は茹でた肉にかけることを奨めていた。1773年には、ナポリ在住のヴィンチェンツォ・コラードが、著書IlCuocoGalanteの中でトマトソースの汎用性を賞賛し、トマトソースと組み合わせるものの例として、肉、魚、卵や野菜とともにパスタも挙げている。1790年には、ローマ出身の料理人フランチェスコ・レオナルディも、著書L'Apiciomodernoで、トマトソースとパスタとの組み合わせを紹介している。トマトとパスタを組みあわせた料理のレシピが文献に登場するのは、1839年にナポリのヴォンヴィチーノ公爵であるイッポリート・カヴァルカンティが著したCucinaTeorico-Practicaに記載された「ヴェルミチェッリのトマト添え」が最初だとされる。,ナポリタンに使うソースは何?,トマトケチャップ,Lexical variation (world knowledge)
7,4,ナポリタン,ナポリタンはトマトケチャップを用いて作られる料理であるが、そのトマトが新大陸からスペイン経由でナポリに伝わったのは1554年とされる。当時のナポリは良港として名高く、またシチリアとともにスペイン・ハプスブルク朝に支配されていたため、スペインを通じて新大陸の食材が手に入りやすい環境にあった。トマトソースのパスタは17-18世紀ごろにはナポリに存在していたとされる。歴史的にトマトベースのソースを記した最初のイタリア料理書は、在ナポリスペイン副王の宰相に家令として仕えたイタリア人シェフ、アントニオ・ラティーニが著し1696年に発行されたLoScalcoallaModernaである。同書にはトマトを使った「Salsadipomadoroallaspagnola」が記されている。このソースは、皮をむいて刻んだトマトに、みじん切りのタマネギとピーマン、イブキジャコウソウ、塩、オイル、酢などを混ぜたもので、ラティーニ自身は茹でた肉にかけることを奨めていた。1773年には、ナポリ在住のヴィンチェンツォ・コラードが、著書IlCuocoGalanteの中でトマトソースの汎用性を賞賛し、トマトソースと組み合わせるものの例として、肉、魚、卵や野菜とともにパスタも挙げている。1790年には、ローマ出身の料理人フランチェスコ・レオナルディも、著書L'Apiciomodernoで、トマトソースとパスタとの組み合わせを紹介している。トマトとパスタを組みあわせた料理のレシピが文献に登場するのは、1839年にナポリのヴォンヴィチーノ公爵であるイッポリート・カヴァルカンティが著したCucinaTeorico-Practicaに記載された「ヴェルミチェッリのトマト添え」が最初だとされる。,トマトがナポリに伝わった時代に、ナポリを支配していた国はどこですか。,スペイン,Multiple sentence reasoning
8,4,ナポリタン,ナポリタンはトマトケチャップを用いて作られる料理であるが、そのトマトが新大陸からスペイン経由でナポリに伝わったのは1554年とされる。当時のナポリは良港として名高く、またシチリアとともにスペイン・ハプスブルク朝に支配されていたため、スペインを通じて新大陸の食材が手に入りやすい環境にあった。トマトソースのパスタは17-18世紀ごろにはナポリに存在していたとされる。歴史的にトマトベースのソースを記した最初のイタリア料理書は、在ナポリスペイン副王の宰相に家令として仕えたイタリア人シェフ、アントニオ・ラティーニが著し1696年に発行されたLoScalcoallaModernaである。同書にはトマトを使った「Salsadipomadoroallaspagnola」が記されている。このソースは、皮をむいて刻んだトマトに、みじん切りのタマネギとピーマン、イブキジャコウソウ、塩、オイル、酢などを混ぜたもので、ラティーニ自身は茹でた肉にかけることを奨めていた。1773年には、ナポリ在住のヴィンチェンツォ・コラードが、著書IlCuocoGalanteの中でトマトソースの汎用性を賞賛し、トマトソースと組み合わせるものの例として、肉、魚、卵や野菜とともにパスタも挙げている。1790年には、ローマ出身の料理人フランチェスコ・レオナルディも、著書L'Apiciomodernoで、トマトソースとパスタとの組み合わせを紹介している。トマトとパスタを組みあわせた料理のレシピが文献に登場するのは、1839年にナポリのヴォンヴィチーノ公爵であるイッポリート・カヴァルカンティが著したCucinaTeorico-Practicaに記載された「ヴェルミチェッリのトマト添え」が最初だとされる。,LoScalcoallaModernaの作者は誰なの?,アントニオ・ラティーニ,Lexical variation (synonymy)
9,4,ナポリタン,ナポリタンはトマトケチャップを用いて作られる料理であるが、そのトマトが新大陸からスペイン経由でナポリに伝わったのは1554年とされる。当時のナポリは良港として名高く、またシチリアとともにスペイン・ハプスブルク朝に支配されていたため、スペインを通じて新大陸の食材が手に入りやすい環境にあった。トマトソースのパスタは17-18世紀ごろにはナポリに存在していたとされる。歴史的にトマトベースのソースを記した最初のイタリア料理書は、在ナポリスペイン副王の宰相に家令として仕えたイタリア人シェフ、アントニオ・ラティーニが著し1696年に発行されたLoScalcoallaModernaである。同書にはトマトを使った「Salsadipomadoroallaspagnola」が記されている。このソースは、皮をむいて刻んだトマトに、みじん切りのタマネギとピーマン、イブキジャコウソウ、塩、オイル、酢などを混ぜたもので、ラティーニ自身は茹でた肉にかけることを奨めていた。1773年には、ナポリ在住のヴィンチェンツォ・コラードが、著書IlCuocoGalanteの中でトマトソースの汎用性を賞賛し、トマトソースと組み合わせるものの例として、肉、魚、卵や野菜とともにパスタも挙げている。1790年には、ローマ出身の料理人フランチェスコ・レオナルディも、著書L'Apiciomodernoで、トマトソースとパスタとの組み合わせを紹介している。トマトとパスタを組みあわせた料理のレシピが文献に登場するのは、1839年にナポリのヴォンヴィチーノ公爵であるイッポリート・カヴァルカンティが著したCucinaTeorico-Practicaに記載された「ヴェルミチェッリのトマト添え」が最初だとされる。,トマトを使った「Salsadipomadoroallaspagnola」が記されている本は何ですか。,LoScalcoallaModerna,Multiple sentence reasoning
10,5,ナポリタン,1773年には、ナポリ在住のヴィンチェンツォ・コラードが、著書IlCuocoGalanteの中でトマトソースの汎用性を賞賛し、トマトソースと組み合わせるものの例として、肉、魚、卵や野菜とともにパスタも挙げている。1790年には、ローマ出身の料理人フランチェスコ・レオナルディも、著書L'Apiciomodernoで、トマトソースとパスタとの組み合わせを紹介している。トマトとパスタを組みあわせた料理のレシピが文献に登場するのは、1839年にナポリのヴォンヴィチーノ公爵であるイッポリート・カヴァルカンティが著したCucinaTeorico-Practicaに記載された「ヴェルミチェッリのトマト添え」が最初だとされる。,フランチェスコ・レオナルディはどこの人なの?,ローマ,Lexical variation (synonymy)
